Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
IBk_1.csv,29,0.28735632183908044,0.4166666666666667,0.3401360544217687,0.2517902850076213,0.8645443196004994,0.5401844532279315,0.16157009568568165,0.1,0.18333333333333332,0.25,0.3333333333333333,0.38333333333333336,0.4166666666666667,0.4666666666666667,0.5666666666666667,0.6833333333333333,0.7,0.8333333333333334,0.9166666666666666,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.6833146844507499,0.1,0.18333333333333332,0.25,0.3333333333333333,0.38333333333333336,0.4166666666666667,0.4666666666666667,0.5666666666666667,0.6833333333333333,0.7,0.8333333333333334,0.9166666666666666,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.6833146844507499,0.16216216216216217,0.24444444444444446,0.2941176470588235,0.36363636363636365,0.38983050847457634,0.41666666666666674,0.4666666666666667,0.5666666666666667,0.6833333333333333,0.7,0.8333333333333334,0.9166666666666666,0.9454545454545454,1.0,1.0,1.0,1.0,1.0,1,0.6728070175438597,
IBk_2.csv,20,0.2753623188405797,0.40425531914893614,0.3275862068965517,0.23723143506966676,0.904221112403366,0.5456646126760564,0.20846127888135405,0.19148936170212766,0.2765957446808511,0.3617021276595745,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.425531914893617,0.44680851063829785,0.46808510638297873,0.5319148936170213,0.6382978723404256,0.7659574468085106,0.8297872340425532,0.8936170212765957,0.9787234042553191,1.0,1.0,0.5709967611361624,0.19148936170212766,0.2765957446808511,0.3617021276595745,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.425531914893617,0.44680851063829785,0.46808510638297873,0.5319148936170213,0.6382978723404256,0.7659574468085106,0.8297872340425532,0.8936170212765957,0.9787234042553191,1.0,1.0,0.5634577320866926,0.28125,0.32499999999999996,0.3777777777777779,0.4042553191489362,0.4042553191489362,0.4042553191489362,0.4042553191489362,0.4042553191489362,0.42553191489361697,0.44680851063829785,0.46808510638297873,0.5319148936170213,0.6382978723404256,0.7659574468085106,0.7647058823529411,0.7499999999999999,0.909090909090909,1.0,1,0.5699888017917133,
IBk_3.csv,30,0.17647058823529413,0.375,0.24,0.1580412488120399,0.8701780415430266,0.5090562440419446,0.12328229528472628,0.15,0.2,0.3,0.35,0.375,0.375,0.375,0.375,0.375,0.4,0.525,0.6,0.65,0.75,0.875,0.95,0.95,1.0,1.0,0.5828076291718952,0.15,0.2,0.3,0.35,0.375,0.375,0.375,0.375,0.375,0.4,0.525,0.6,0.65,0.75,0.875,0.95,0.95,1.0,1.0,0.5523740046246971,0.1875,0.21052631578947367,0.30000000000000004,0.35,0.375,0.375,0.375,0.375,0.375,0.4,0.525,0.6,0.65,0.75,0.875,0.9259259259259258,0.846153846153846,1.0,1,0.5565789473684211,
IBk_4.csv,0,0.25,0.4222222222222222,0.3140495867768595,0.2116073815002024,0.9052823315118398,0.5629224795052495,0.21433326591679144,0.2,0.24444444444444444,0.26666666666666666,0.3333333333333333,0.4,0.4444444444444444,0.5777777777777777,0.6444444444444445,0.6666666666666666,0.7111111111111111,0.7555555555555555,0.8,0.9333333333333333,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,0.6841381024140414,0.2,0.24444444444444444,0.26666666666666666,0.3333333333333333,0.4,0.4444444444444444,0.5777777777777777,0.6444444444444445,0.6666666666666666,0.7111111111111111,0.7555555555555555,0.8,0.9333333333333333,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,0.6849644436293986,0.25714285714285723,0.2682926829268293,0.2666666666666666,0.33333333333333326,0.4,0.4444444444444444,0.5777777777777777,0.6444444444444445,0.6666666666666666,0.7111111111111111,0.7555555555555555,0.8,0.9333333333333333,0.9555555555555556,1.0,1.0,1.0,1.0,1,0.6807017543859649,
IBk_BestFirst(backward)_1.csv,33,0.26881720430107525,0.4166666666666667,0.32679738562091504,0.2366219161128897,0.8514357053682897,0.534515175933387,0.13898140678064866,0.0847457627118644,0.15254237288135594,0.23728813559322035,0.3220338983050847,0.3728813559322034,0.423728813559322,0.423728813559322,0.4406779661016949,0.4406779661016949,0.4406779661016949,0.4406779661016949,0.4406779661016949,0.559322033898305,0.6440677966101694,0.6949152542372882,0.864406779661017,0.9322033898305084,0.9661016949152542,1.0,0.38935526106381957,0.0847457627118644,0.15254237288135594,0.23728813559322035,0.3220338983050847,0.3728813559322034,0.423728813559322,0.423728813559322,0.4406779661016949,0.4406779661016949,0.4406779661016949,0.4406779661016949,0.4406779661016949,0.559322033898305,0.6440677966101694,0.6949152542372882,0.864406779661017,0.9322033898305084,0.9661016949152542,1.0,0.3346503168851912,0.1351351351351351,0.20000000000000007,0.27450980392156865,0.34545454545454546,0.3728813559322034,0.41666666666666663,0.41666666666666663,0.43333333333333324,0.43333333333333324,0.43333333333333324,0.43333333333333324,0.43333333333333324,0.509090909090909,0.33333333333333326,0.13636363636363658,0.3571428571428572,0.4444444444444442,0.24999999999999956,0.0,0.52007136485281,
IBk_BestFirst(backward)_2.csv,16,0.22857142857142856,0.3404255319148936,0.27350427350427353,0.20015257190384708,0.8854758158308818,0.4822046320727059,0.14202320659672343,0.14893617021276595,0.2553191489361702,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3617021276595745,0.3829787234042553,0.425531914893617,0.5319148936170213,0.5957446808510638,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9574468085106383,1.0,0.43350945726283313,0.14893617021276595,0.2553191489361702,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.3617021276595745,0.3829787234042553,0.425531914893617,0.5319148936170213,0.5957446808510638,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9574468085106383,1.0,0.47626561627739095,0.21875,0.30000000000000004,0.3555555555555555,0.34042553191489366,0.34042553191489366,0.34042553191489366,0.34042553191489366,0.34042553191489366,0.36170212765957444,0.3829787234042553,0.42553191489361697,0.5319148936170213,0.5957446808510638,0.723404255319149,0.7058823529411764,0.5999999999999999,0.5454545454545453,0.6000000000000006,1,0.522956326987682,
IBk_BestFirst(backward)_3.csv,34,0.1978021978021978,0.45,0.2748091603053435,0.17566555337204892,0.8808605341246291,0.5716347888848792,0.1679616218099164,0.2,0.275,0.35,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.475,0.6,0.675,0.725,0.8,0.875,0.925,0.975,1.0,0.6027073419040179,0.2,0.275,0.35,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.475,0.6,0.675,0.725,0.8,0.875,0.925,0.975,1.0,0.5604483825397952,0.2499999999999999,0.2894736842105263,0.35,0.4,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.475,0.6,0.675,0.725,0.8,0.8148148148148149,0.7692307692307694,0.7999999999999998,1,0.5776315789473684,
IBk_BestFirst(backward)_4.csv,0,0.323943661971831,0.5111111111111111,0.39655172413793105,0.27099690626154876,0.9318761384335154,0.6436114044350582,0.3138485498706671,0.3111111111111111,0.37777777777777777,0.4222222222222222,0.4444444444444444,0.5111111111111111,0.5777777777777777,0.6444444444444445,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.9111111111111111,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.7367859822762988,0.3111111111111111,0.37777777777777777,0.4222222222222222,0.4444444444444444,0.5111111111111111,0.5777777777777777,0.6444444444444445,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.9111111111111111,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.737612323491656,0.4,0.41463414634146345,0.4222222222222223,0.4444444444444444,0.5111111111111111,0.5777777777777777,0.6444444444444445,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.9111111111111111,0.9333333333333333,1.0,1.0,1.0,1.0,1,0.7309941520467835,
IBk_BestFirst(backward)_SensitiveThreshold_1.csv,33,0.26881720430107525,0.4166666666666667,0.32679738562091504,0.2366219161128897,0.8399500624219725,0.534515175933387,0.13898140678064866,0.0847457627118644,0.15254237288135594,0.23728813559322035,0.3220338983050847,0.3728813559322034,0.423728813559322,0.423728813559322,0.4406779661016949,0.559322033898305,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6949152542372882,0.864406779661017,0.9322033898305084,0.9661016949152542,1.0,0.38935526106381957,0.0847457627118644,0.15254237288135594,0.23728813559322035,0.3220338983050847,0.3728813559322034,0.423728813559322,0.423728813559322,0.4406779661016949,0.559322033898305,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6949152542372882,0.864406779661017,0.9322033898305084,0.9661016949152542,1.0,0.38752113028232044,0.1351351351351351,0.20000000000000007,0.27450980392156865,0.34545454545454546,0.3728813559322034,0.41666666666666663,0.41666666666666663,0.43333333333333324,0.55,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6363636363636364,0.3939393939393939,0.13636363636363658,0.3571428571428572,0.4444444444444442,0.24999999999999956,0.0,0.5718108831400536,
IBk_BestFirst(backward)_SensitiveThreshold_2.csv,16,0.22857142857142856,0.3404255319148936,0.27350427350427353,0.19894797939490677,0.8854758158308818,0.4822046320727059,0.14202320659672343,0.14893617021276595,0.2553191489361702,0.3404255319148936,0.3404255319148936,0.3617021276595745,0.3617021276595745,0.40425531914893614,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.5319148936170213,0.5957446808510638,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9574468085106383,1.0,0.43350945726283313,0.14893617021276595,0.2553191489361702,0.3404255319148936,0.3404255319148936,0.3617021276595745,0.3617021276595745,0.40425531914893614,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.5319148936170213,0.5957446808510638,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9574468085106383,1.0,0.49642239119340426,0.21875,0.30000000000000004,0.3555555555555555,0.34042553191489366,0.36170212765957444,0.36170212765957444,0.4042553191489362,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.5319148936170213,0.5957446808510638,0.723404255319149,0.7058823529411764,0.5999999999999999,0.5454545454545453,0.6000000000000006,1,0.5431131019036954,
