ID,Size,Predicted %,Actual value
0,45,0.22,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.6351089466089467,YES
4,1470,0.28678571428571425,YES
5,25,0.0,NO
6,39,0.0,NO
7,47,0.6131190476190477,NO
8,30,0.0,NO
9,215,0.0,YES
10,50,0.0,NO
11,82,0.0,NO
12,41,0.0,NO
13,245,0.0,NO
14,227,0.07666666666666667,NO
15,363,0.01,NO
16,407,0.0,NO
17,145,0.627180749505053,NO
18,49,0.0,NO
19,85,0.04417373809696517,NO
20,64,0.0,NO
21,36,0.0,NO
22,37,0.0,NO
23,83,0.0,NO
24,32,0.0,NO
25,26,0.0,NO
26,834,0.885,YES
27,365,0.18,NO
28,206,0.3113571428571428,YES
29,24,0.0,NO
30,24,0.0,NO
31,27,0.0,NO
32,260,0.0,NO
33,30,0.0,NO
34,428,0.0,NO
35,972,0.0,NO
36,123,0.0,NO
37,562,0.07,NO
38,205,0.005,NO
39,37,0.0,NO
40,35,0.0,NO
41,276,0.09,NO
42,316,0.0,NO
43,204,0.0,NO
44,133,0.029190476190476194,NO
45,285,0.30304761904761907,NO
46,336,0.003333333333333333,NO
47,464,0.3290108225108225,YES
48,294,0.0,YES
49,76,0.0,NO
50,69,0.14007699339703983,NO
51,266,0.0,NO
52,247,0.15780541680541676,NO
53,217,0.0,NO
54,99,0.0,YES
55,191,0.0983571501597817,NO
56,476,0.0906060606060606,NO
57,95,0.0,NO
58,550,0.0,YES
59,136,0.0,NO
60,33,0.0,NO
61,464,0.6548333333333334,YES
62,140,0.0,NO
63,111,0.0,NO
64,34,0.0,NO
65,39,0.0,NO
66,36,0.0,NO
67,257,0.4805000000000001,YES
68,61,0.0,NO
69,57,0.0,NO
70,124,0.34225,NO
71,59,0.0,NO
72,32,0.0,NO
73,25,0.0,NO
74,53,0.0,NO
75,53,0.0,NO
76,88,0.46674120311233325,YES
77,107,0.006666666666666665,NO
78,133,0.029190476190476194,YES
79,169,0.0,NO
80,80,0.13667379842379843,NO
81,29,0.0,NO
82,588,0.0,NO
83,162,0.49,NO
84,39,0.0,NO
85,79,0.0,NO
86,85,0.04417373809696517,NO
87,110,0.0,NO
88,111,0.0,NO
89,53,0.0,NO
90,52,0.0,NO
91,154,0.05,YES
92,403,0.0,YES
93,183,0.0,NO
94,215,0.0,NO
95,76,0.0,NO
96,564,0.44,YES
97,257,0.01,NO
98,55,0.0,NO
99,102,0.0,NO
100,403,0.0,NO
101,35,0.0,NO
102,145,0.627180749505053,YES
103,119,0.0,NO
104,108,0.6864603174603175,NO
105,91,0.24097619047619048,YES
106,69,0.14007699339703983,NO
107,80,0.13667379842379843,NO
108,63,0.0,NO
109,160,0.85,YES
110,98,0.31468933637741686,YES
111,54,0.0,NO
112,267,0.0,NO
113,55,0.0,NO
114,46,0.013333333333333334,NO
115,226,0.0,NO
116,54,0.0,NO
117,270,0.0,NO
118,74,0.0,NO
119,359,0.03,NO
120,78,0.0,NO
121,180,0.0,NO
122,57,0.0,NO
123,50,0.0,NO
124,243,0.0,NO
125,254,0.0,NO
126,306,0.0,NO
127,139,0.0,NO
128,375,0.16379689754689755,NO
129,75,0.0956896934764582,NO
130,222,0.0,NO
131,61,0.0,NO
132,98,0.31468933637741686,NO
133,28,0.0,NO
134,55,0.0,NO
135,194,0.12,NO
136,28,0.0,NO
137,50,0.0,NO
138,55,0.0,NO
139,124,0.34225,NO
140,87,0.016666666666666666,NO
141,65,0.0,NO
142,144,0.08596570423041011,NO
143,134,0.0,NO
144,117,0.02,NO
145,28,0.0,NO
146,57,0.0,NO
147,60,0.0,NO
148,62,0.0,NO
149,89,0.0,NO
150,60,0.0,NO
151,68,0.022024561223090634,NO
152,522,0.0,YES
153,43,0.0,NO
154,247,0.15780541680541676,NO
155,35,0.0,NO
156,42,0.0,NO
157,57,0.0,NO
158,117,0.02,YES
159,61,0.0,NO
160,92,0.18,NO
161,93,0.01,NO
162,80,0.13667379842379843,NO
163,101,0.0,NO
164,59,0.0,NO
165,84,0.0,NO
166,82,0.0,NO
167,172,0.0,YES
168,143,0.005714285714285714,NO
169,78,0.0,NO
170,66,0.0,NO
171,66,0.0,NO
172,310,0.04,NO
173,86,0.0,NO
174,66,0.0,NO
175,85,0.04417373809696517,NO
176,54,0.0,NO
177,77,0.481075396825397,NO
178,137,0.0,NO
179,130,0.2759365079365079,YES
180,79,0.0,NO
181,76,0.0,NO
182,81,0.0,NO
183,98,0.31468933637741686,NO
184,115,0.15,NO
185,180,0.0,NO
186,118,0.0,NO
187,132,0.4026428571428572,NO
188,95,0.0,YES
189,88,0.46674120311233325,NO
190,51,0.0,NO
191,120,0.41919047619047617,YES
