ID,Size,Predicted %,Actual value
0,40,0.20155224432430321,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.2621904761904761,YES
4,1470,0.3283333333333333,NO
5,25,0.0,NO
6,39,0.06145436507936509,NO
7,50,0.0,NO
8,82,0.0,NO
9,41,0.01756302521008403,NO
10,245,0.2866666666666667,NO
11,227,0.6596071428571428,NO
12,363,0.31642857142857145,NO
13,407,0.09,NO
14,145,0.43103174603174615,NO
15,49,0.0,NO
16,85,0.0,NO
17,64,0.0,NO
18,36,0.0,NO
19,37,0.0,NO
20,83,0.17,NO
21,32,0.0,NO
22,26,0.0,NO
23,686,0.5,YES
24,398,0.35666666666666663,NO
25,206,0.5033333333333334,YES
26,24,0.0,NO
27,24,0.0,NO
28,27,0.0,NO
29,30,0.0,NO
30,428,0.17709523809523814,NO
31,972,0.0025,NO
32,123,0.0,NO
33,562,0.0,NO
34,205,0.02,NO
35,37,0.0,NO
36,35,0.0,NO
37,276,0.0,NO
38,316,0.010666666666666668,NO
39,204,0.18353391053391052,NO
40,133,0.2925,NO
41,285,0.02,NO
42,336,0.004,NO
43,464,0.19416666666666668,NO
44,294,0.03,NO
45,76,0.018500000000000003,NO
46,69,0.0,NO
47,266,0.28500000000000003,NO
48,247,0.2,NO
49,217,0.12,NO
50,99,0.0,NO
51,191,0.0,NO
52,476,0.6789285714285714,NO
53,95,0.0,NO
54,550,0.0,NO
55,136,0.0,NO
56,33,0.0,NO
57,483,0.71,YES
58,140,0.4911904761904762,NO
59,111,0.33433333333333337,NO
60,34,0.0,NO
61,39,0.0,NO
62,36,0.0,NO
63,210,0.08,YES
64,111,0.0325,NO
65,57,0.0,NO
66,43,0.0,NO
67,27,0.0,NO
68,25,0.0,NO
69,53,0.0,NO
70,88,0.63,YES
71,107,0.035,NO
72,132,0.5021666666666667,YES
73,169,0.0,NO
74,80,0.0,NO
75,29,0.01,NO
76,430,0.17633333333333334,NO
77,162,0.0,NO
78,39,0.0,NO
79,79,0.0,NO
80,85,0.0,NO
81,110,0.21,NO
82,111,0.0,NO
83,53,0.0,NO
84,52,0.0,NO
85,154,0.05,NO
86,403,0.09,NO
87,183,0.03,NO
88,215,0.29033333333333333,NO
89,76,0.0,NO
90,554,0.12166666666666666,YES
91,257,0.02,NO
92,55,0.0,NO
93,102,0.036000000000000004,NO
94,403,0.03,NO
95,35,0.0,NO
96,145,0.7160714285714286,YES
97,119,0.11,NO
98,108,0.07,NO
99,91,0.13,YES
100,69,0.94,NO
101,80,0.01,NO
102,63,0.0,NO
103,160,0.05,YES
104,98,0.20199675324675323,YES
105,54,0.0,NO
106,267,0.04,NO
107,55,0.0,NO
108,46,0.0075,NO
109,226,0.025,NO
110,54,0.0,NO
111,270,0.39,NO
112,74,0.0,NO
113,359,0.03666666666666667,NO
114,78,0.0,NO
115,180,0.01,NO
116,57,0.0,NO
117,50,0.0,NO
118,243,0.035,NO
119,254,0.0,NO
120,306,0.01,NO
121,139,0.03,NO
122,375,0.01,NO
123,75,0.0,NO
124,222,0.018333333333333333,NO
125,61,0.0,NO
126,98,0.12486580086580087,NO
127,28,0.0,NO
128,55,0.0,NO
129,194,0.0,NO
130,28,0.0,NO
131,50,0.0,NO
132,55,0.0,NO
133,124,0.22,NO
134,87,0.0,NO
135,65,0.0,NO
136,144,0.3706309523809525,NO
137,134,0.05,NO
138,117,0.05,NO
139,28,0.0,NO
140,57,0.0,NO
141,60,0.0,NO
142,62,0.0,NO
143,89,0.0,NO
144,60,0.0,NO
145,68,0.69,NO
146,522,0.1475,NO
147,43,0.0,NO
148,247,0.0,NO
149,35,0.0,NO
150,42,0.0,NO
151,57,0.0,NO
152,117,0.1,NO
153,61,0.0,NO
154,92,0.0,NO
155,93,0.0,NO
156,80,0.0,NO
157,101,0.0,NO
158,59,0.0,NO
159,84,0.0,NO
160,82,0.0,NO
161,172,0.1,NO
162,143,0.07345238095238095,NO
163,78,0.0,NO
164,66,0.0,NO
165,66,0.0,NO
166,85,0.0,NO
167,54,0.0,NO
168,77,0.0075,NO
169,137,0.08666666666666666,NO
170,130,0.3708571428571428,NO
171,79,0.0,NO
172,76,0.0,NO
173,81,0.0,NO
174,98,0.0,NO
175,115,0.36,NO
176,180,0.0,NO
177,118,0.11,NO
178,64,0.0,NO
179,95,0.0016666666666666663,NO
180,88,0.0,NO
181,51,0.0,NO
182,120,0.09,NO
